Student Number,First Name,Last Name,Email
1,Mark,Deer,xxxxxxx
2,Mahyar,Tajeri,xxxxxxx
3,Frank,Kong,xxxxxxx
4,Kai,Xu,xxxxxxx
5,Bob,Ross,xxxxxxx
6,Donald,Trump,xxxxxxx
7,Wilfred,Ho,xxxxxxx
8,Sean,Hua,xxxxxxx
9,William,Lin,xxxxxxx
10,Barrack,Obama,xxxxxxx
11,Tom,Sawyer,xxxxxxx
12,Amy,Liang,xxxxxxx
13,Giorno,Giovanna,xxxxxxx
14,Bruno,Bucciarati,xxxxxxx
15,Dio,Brando,xxxxxxx
16,Caesar,Zeppeli,xxxxxxx
17,Thomas,TheTankEngine,xxxxxxx
18,LEEROY,JENKINS,xxxxxxx
19,Justin,Bieber,xxxxxxx
20,Dat,Boi,xxxxxxx
